value;label;causa;causa_id
2040;U04   Síndrome respiratória aguda grave [SARS];SARS;1
715;J09   Influenza dev virus gripe aviária;Influenza [gripe];2
716;J10   Influenza dev outro virus influenza ident;Influenza [gripe];2
717;J11   Influenza dev virus nao identificado;Influenza [gripe];2
644;I20   Angina pectoris;Outras doenças isquêmicas do coração;3
647;I23   Alg complic atuais subs infarto agud miocard;Outras doenças isquêmicas do coração;3
648;I24   Outr doenc isquemicas agudas do coracao;Outras doenças isquêmicas do coração;3
649;I25   Doenc isquemica cronica do coracao;Outras doenças isquêmicas do coração;3
350;E10   Diabetes mellitus insulino-dependente;Diabetes melitus;4
351;E11   Diabetes mellitus nao-insulino-dependemte;Diabetes melitus;4
352;E12   Diabetes mellitus relac c/a desnutr;Diabetes melitus;4
352;E13   Outr tipos espec de diabetes mellitus;Diabetes melitus;4
354;E14   Diabetes mellitus NE;Diabetes melitus;4
393;E66   Obesidade;Obesidade;5
743;J45   Asma;Asma;6
744;J46   Estado de mal asmatico;Asma;6
738;J40   Bronquite NE como aguda ou cronica;Bronquite, enfisema e outras doenças pulmonares obstrutivas crônicas (DPOC);7
739;J41   Bronquite cronica simples e a mucopurulenta;Bronquite, enfisema e outras doenças pulmonares obstrutivas crônicas (DPOC);7
740;J42   Bronquite cronica NE;Bronquite, enfisema e outras doenças pulmonares obstrutivas crônicas (DPOC);7
741;J43   Enfisema;Bronquite, enfisema e outras doenças pulmonares obstrutivas crônicas (DPOC);7
742;J44   Outr doenc pulmonares obstrutivas cronicas;Bronquite, enfisema e outras doenças pulmonares obstrutivas crônicas (DPOC);7
322;D65   Coagulacao intravascular disseminada;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
323;D66   Defic hereditaria do fator VIII;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
324;D67   Defic hereditaria do fator IX;Afecções hemorrágicas e outras doenças do sangue e dos órgãos hematopoéticos;8
